job_id,job_title,company_name,seniority_level,min_salary,max_salary,city,state,zipcode,presence,scraping_id
2fa2189ab9be6d4c,Data Engineer,zuven Technologies,,,,Remote,Unknown,Unknown,Remote,5
0fceb11d4521d209,Data Engineer,"Arch Systems, LLC",,,,Remote,Unknown,Unknown,Remote,5
44bb65584a747c9c,Data Engineer,chenoa inc,,,,Remote,Unknown,Unknown,Remote,5
9bab80a06296e1b1,Data Engineer II,Lulus Fashion Lounge Llc,,100000,122000,Chico,CA,95928,Remote,5
5f8374c8ddcfff81,Data Engineer,Siddhi Solutions,,65,70,Spring,TX,77381,Unknown,5
ae976f21a8a14b14,Data Engineer,Capital Group Companies,,,,Irvine,CA,Unknown,Unknown,5
1050ceda62ab4139,GCP Data Engineer,keasis Inc,,,,Parsippany,NJ,07054,Unknown,5
64d89605dbd00c53,Senior Data Engineer,Blankfactor,,,,Miami,FL,Unknown,Unknown,5
b599d7cef6a9defa,Data / Senior Data Engineer,The Hanover Insurance Group,,,,Remote,Unknown,Unknown,Remote,5
1efb8cc5d5dd50db,Senior Data Engineer,Aurora Payments LLC,,,,Las Vegas,NV,89118,Remote,5
d23d787fcb1e1a27,Data Engineer - Remote,"Intelliswift Software, Inc.",,,,Seattle,WA,Unknown,Remote,5
1b383a644780dfd4,Genomics Data Engineer (Joint Genome Institute),Lawrence Berkeley National Laboratory,,126900,158628,San Francisco Bay Area,CA,Unknown,Hybrid remote,5
7a5a9b6ddb6d735f,"Principal Engineer, IT – Data Engineering",Builders FirstSource,,124350,207250,Remote,Unknown,Unknown,Remote,5
afece6001fb4eb54,Data Engineer,Disney Entertainment & ESPN Technology,,136038,182490,New York,NY,,,6
5a1bc15dbff199ed,Data Engineer,Codeignitors inc,,,,California,,,,6
9f17ba302b003f8b,Data Engineer - Azure & Databricks,Blueprint Technologies,Sr.,146400,175100,Dallas,TX,,remote,6
6f8ce3d98826d4d2,Data Engineer,Mars,,,,Chicago,IL,60601,hybrid,6
08aa6def192357d9,Data Engineer,Panalgo,,,,,,,remote,6
01109174560ec43c,Data Engineer,EmpiRx Health,,,,Montvale,NJ,07645,,6
8205e9479d12b03a,Data Specialist,Nudj Health,,,,,,,remote,6
baafe612f2b68ad9,Data Engineer Consultant,Sera Prognostics,,,,Salt Lake City,UT,,,6
03da1692425be6b4,Data Engineer,Canyon Associates,,,,Bridgewater,NJ,08807,hybrid,6
681a4bbb18fa81b4,"Data Engineer, Analytics",Meta,,96990,134000,New York,NY,,,6
76a3b08171504802,Python Data Engineer,Infocodec Solutions,,,,New York,NY,,,6
79a75390cc2dba7e,Geospatial Data Engineer,Ready,,,,California,,,remote,6
d787de71c468442b,Associate Data Engineer,Harris Computer Systems,associate,,,California,,,,6
0eb33a1a0341a63e,Data Engineer,Kenco Management Services LLC,,,,Chattanooga,TN,37406,,6
65c4ad9a9b611265,Junior Data Engineer,TEKletics,junior,,,,,,remote,6
48c9709962967e7e,Data Integration Engineer,Pacific Life,,,,Newport Beach,CA,92660,,6
